NAME=b1737-30; DEC=-30.254; RA=17.678 ; PW50=0.002400 ; DM=151.96
NAME=j1740-3015; DEC=-30.254; RA=17.678 ; PW50=0.002400 ; DM=151.96
NAME=b1700-32; DEC=-32.695; RA=17.051 ; PW50=0.037700 ; DM=110.31
NAME=j1703-3241; DEC=-32.695; RA=17.051 ; PW50=0.037700 ; DM=110.31
NAME=b0538-75; DEC=-75.729; RA=5.610  ; PW50=0.057100 ; DM=18.58
NAME=j0536-7543; DEC=-75.729; RA=5.610  ; PW50=0.057100 ; DM=18.58
NAME=b1946+35; DEC=35.678 ; RA=19.813 ; PW50=0.019300 ; DM=129.37
NAME=j1948+3540; DEC=35.678 ; RA=19.813 ; PW50=0.019300 ; DM=129.37
NAME=j1034-3224; DEC=-32.407; RA=10.576 ; PW50=0.251900 ; DM=50.75
NAME=b1508+55; DEC=55.525 ; RA=15.152 ; PW50=0.010900 ; DM=19.62
NAME=j1509+5531; DEC=55.525 ; RA=15.152 ; PW50=0.010900 ; DM=19.62
NAME=b1952+29; DEC=29.390 ; RA=19.915 ; PW50=0.006000 ; DM=7.93
NAME=j1954+2923; DEC=29.390 ; RA=19.915 ; PW50=0.006000 ; DM=7.93
NAME=b1821-19; DEC=-19.762; RA=18.407 ; PW50=0.001300 ; DM=224.38
NAME=j1824-1945; DEC=-19.762; RA=18.407 ; PW50=0.001300 ; DM=224.38
NAME=b1754-24; DEC=-24.373; RA=17.966 ; PW50=0.009600 ; DM=179.45
NAME=j1757-2421; DEC=-24.373; RA=17.966 ; PW50=0.009600 ; DM=179.45
NAME=b1358-63; DEC=-63.966; RA=14.017 ; PW50=0.009100 ; DM=98.00
NAME=j1401-6357; DEC=-63.966; RA=14.017 ; PW50=0.009100 ; DM=98.00
NAME=b1558-50; DEC=-51.000; RA=16.034 ; PW50=0.004300 ; DM=170.79
NAME=j1602-5100; DEC=-51.000; RA=16.034 ; PW50=0.004300 ; DM=170.79
NAME=b1530-53; DEC=-53.576; RA=15.576 ; PW50=0.012200 ; DM=24.82
NAME=j1534-5334; DEC=-53.576; RA=15.576 ; PW50=0.012200 ; DM=24.82
NAME=b1911-04; DEC=-4.678 ; RA=19.220 ; PW50=0.001300 ; DM=89.39
NAME=j1913-0440; DEC=-4.678 ; RA=19.220 ; PW50=0.001300 ; DM=89.39
NAME=b1915+13; DEC=13.898 ; RA=19.288 ; PW50=0.003800 ; DM=94.54
NAME=j1917+1353; DEC=13.898 ; RA=19.288 ; PW50=0.003800 ; DM=94.54
NAME=b1747-46; DEC=-46.966; RA=17.864 ; PW50=0.011500 ; DM=20.40
NAME=j1751-4657; DEC=-46.966; RA=17.864 ; PW50=0.011500 ; DM=20.40
NAME=b1424-55; DEC=-55.508; RA=14.474 ; PW50=0.012200 ; DM=82.40
NAME=j1428-5530; DEC=-55.508; RA=14.474 ; PW50=0.012200 ; DM=82.40
NAME=b2011+38; DEC=38.763 ; RA=20.220 ; PW50=0.022700 ; DM=238.22
NAME=j2013+3845; DEC=38.763 ; RA=20.220 ; PW50=0.022700 ; DM=238.22
NAME=j1022+1001; DEC=10.017 ; RA=10.373 ; PW50=0.000972 ; DM=10.25
NAME=b1600-49; DEC=-49.152; RA=16.068 ; PW50=0.003800 ; DM=140.80
NAME=j1604-4909; DEC=-49.152; RA=16.068 ; PW50=0.003800 ; DM=140.80
NAME=b0818-13; DEC=-13.847; RA=8.339  ; PW50=0.021700 ; DM=40.94
NAME=j0820-1350; DEC=-13.847; RA=8.339  ; PW50=0.021700 ; DM=40.94
NAME=b0923-58; DEC=-58.237; RA=9.407  ; PW50=0.040500 ; DM=57.40
NAME=j0924-5814; DEC=-58.237; RA=9.407  ; PW50=0.040500 ; DM=57.40
NAME=b1114-41; DEC=-41.373; RA=11.271 ; PW50=0.009200 ; DM=40.53
NAME=j1116-4122; DEC=-41.373; RA=11.271 ; PW50=0.009200 ; DM=40.53
NAME=b1133-55; DEC=-55.424; RA=11.610 ; PW50=0.013600 ; DM=85.50
NAME=j1136-5525; DEC=-55.424; RA=11.610 ; PW50=0.013600 ; DM=85.50
NAME=b2048-72; DEC=-72.000; RA=20.898 ; PW50=0.024400 ; DM=17.30
NAME=j2053-7200; DEC=-72.000; RA=20.898 ; PW50=0.024400 ; DM=17.30
NAME=b1541+09; DEC=9.491  ; RA=15.729 ; PW50=0.046200 ; DM=34.98
NAME=j1543+0929; DEC=9.491  ; RA=15.729 ; PW50=0.046200 ; DM=34.98
NAME=b1820-31; DEC=-31.102; RA=18.390 ; PW50=0.003600 ; DM=50.24
NAME=j1823-3106; DEC=-31.102; RA=18.390 ; PW50=0.003600 ; DM=50.24
NAME=b1737-39; DEC=-39.458; RA=17.695 ; PW50=0.010500 ; DM=158.50
NAME=j1741-3927; DEC=-39.458; RA=17.695 ; PW50=0.010500 ; DM=158.50
NAME=b1900+01; DEC=1.593  ; RA=19.051 ; PW50=0.009900 ; DM=245.17
NAME=j1903+0135; DEC=1.593  ; RA=19.051 ; PW50=0.009900 ; DM=245.17
NAME=b1718-32; DEC=-32.119; RA=17.373 ; PW50=0.005200 ; DM=126.06
NAME=j1722-3207; DEC=-32.119; RA=17.373 ; PW50=0.005200 ; DM=126.06
NAME=b2106+44; DEC=44.695 ; RA=21.136 ; PW50=0.027200 ; DM=139.83
NAME=j2108+4441; DEC=44.695 ; RA=21.136 ; PW50=0.027200 ; DM=139.83
NAME=j1705-3423; DEC=-34.390; RA=17.085 ; PW50=0.011700 ; DM=146.36
